設定	настройка
IPログリーダー	Считыватель IP-журнала
IPアドレスログ	Журнал IP-адресов
全クリア	Все чисто.
IPログが全て削除されました	Все журналы IP были удалены.
ID	ID
タイムスタンプ	маркировка времени
IPアドレス	IP-адрес
ユーザーエージェント	Пользовательский агент
イベント	Событие
IPアドレスのデータはありません	Данные об IP-адресе отсутствуют.
デバッグモード、コンソールの警告メッセージ	Режим отладки, консольные предупреждающие сообщения.
右クリックの警告メッセージ	Щелкните правой кнопкой мыши предупреждающие сообщения.
印刷、PDF保存の警告メッセージ	Предупреждающие сообщения при печати и сохранении PDF-файлов.
スクリーンショットの警告メッセージ	Предупреждающие сообщения на скриншотах.
スクリーンショットの疑いの警告メッセージ	Предполагаемое предупреждающее сообщение на скриншоте.
テキスト全選択時の警告メッセージ	Предупреждающее сообщение при выделении всего текста.
ページ保存の警告メッセージ	Предупреждение о сохранении страницы.
コピー・カットした時に表示するメッセージ	Сообщение, отображаемое при копировании или резке.
HTMLソース表示時に表示するメッセージ	Сообщение, которое будет отображаться при выводе источника HTML
HTML難読化・保護時にソースの先頭に表示するメッセージ	Сообщение, которое будет отображаться в начале исходного текста при обфускации и защите HTML.
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Сообщение, отображаемое при ошибке одноразового маркера аутентификации во время защиты HTML.
CookieやJavascriptが有効でない場合に表示するメッセージ	Сообщение, отображаемое, если cookies и Javascript не включены.
実際にはJavascriptが無効時のみ表示されます	На практике это видно только при отключенном Javascript.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Сообщение, отображаемое на изображении при загрузке изображения и защите изображения Только на английском языке
HTML難読化 (圧縮)	Обфускация
無効	Недействительный
有効	срок действия
一般的なHTML圧縮です、難読化解除のサイトもあります	Общее сжатие HTML, на некоторых сайтах - деобфускация.
このオプションを有効にするとview-sourceのログが取得できます	Включите эту опцию для регистрации источника просмотра
HTML保護	Защита HTML
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	За пределами сжатия HTML выводится только минимальный HTML, а содержимое тега BODY не выводится вообще.
Firefoxに対しては無効です	Не действует для Firefox.
SEOに著しく影響があります	Значительно влияет на SEO.
HTMLをJavaScriptで描画	Рендеринг HTML с помощью JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	Рендеринг HTML с помощью JavaScript в Firefox
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Включение JavaScript-рендеринга значительно замедлит скорость отображения сайта
画像の保護	Защита изображения.
imgタグが呼び出されるごとに画像を保護	Защищайте изображение при каждом вызове тега img.
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Защитите все изображения, загруженные в Wordpress, во всех HTML-выводах
画像をダウンロードから保護します	Защищает изображения от загрузки.
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Почти полностью предотвращает загрузку, когда данные изображения защищены, выдает полный одноразовый URL, аутентифицируется с помощью токена, хранящегося в сессии, и отображает изображение с php, тем самым почти полностью предотвращая кражу изображений.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Когда данные изображений защищены, кэширование изображений не работает, поэтому сайт загружается медленнее при следующем посещении, что негативно сказывается на SEO
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Нагрузка на базу данных может быть выше, если данные изображения защищены
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Для "Защищать изображение при каждом вызове тега img" используйте add_filter и фильтр при публикации тегов img, в зависимости от темы это может работать некорректно
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	'Protect all images uploaded to Wordpress out of all HTML output' будет перехватывать почти всю активность Wordpress и обрабатывать все теги img в контенте. Некоторые темы будут работать некорректно
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Обратите внимание, что изображения, указанные как eye-catching, распространяются как OGP и не могут быть защищены. Если вам необходимо защитить их, измените выбор вывода тега HEAD при защите HTML в расширенных настройках.
OS標準搭載のスクリーンショット機能を保護することはできません	Стандартная функция скриншотов ОС не может быть защищена
画像URLの保護	Защита URL-адресов изображений
画像の保護と組み合わせて使用します、単体では意味がありません	Используется в сочетании с защитой изображения, но сам по себе не имеет смысла.
JavaScriptにより遅延読まれますのでSEOに影響があります	Задержка чтения из-за JavaScript, что влияет на SEO
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Вывод ASCII-искусства в исходном коде HTML при обфускации и защите HTML.
表示なし	Нет указаний
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Отображение ASCII-рисунка, указывающего на намерение предупредить при отображении HTML-источника с помощью view-source.
対象アクションを起こした時の表示デザイン	Отображение дизайна при срабатывании целевого действия.
黄色の背景の黒文字のベーシックデザイン	Основной дизайн с черными буквами на желтом фоне
黒色の背景の赤文字のホラー風デザイン	Дизайн в стиле хоррор с красным текстом на черном фоне.
黒色の背景の赤文字の光る文字のデザイン	Дизайн светящихся красных букв на черном фоне.
対象アクションを起こした時のBGM	BGM при выполнении целевого действия.
サウンドなし	Без звука
戦闘＆戦闘勝利 - 1分16.3秒 - ライセンス：CC2.1 or later	Бои и боевые победы - 1 мин 16,3 сек - Лицензия: CC2.1 или более поздняя
おやじ ショート - 3.8秒 - ライセンス GPL2.0 or later (C)EJ	Отец Коротышка - 3,8 секунды - Лицензия GPL2.0 или более поздняя
おやじ ロング - 23.5秒 - ライセンス GPL2.0 or later (C)EJ	Father Long - 23,5 секунды - Лицензия GPL2.0 или более поздняя
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - ライセンス：CC BY-ND 4.0 or later	Этюд Шопена, Op.10-5, черные клавиши, печатная версия, быстрая версия - 1 мин 0,0 сек - Лицензия: CC BY-ND 4.0 или более поздняя
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - ライセンス：CC BY-ND 4.0 or later	Этюд Шопена, Op.10-12 Революция, печатная версия, быстрая версия - 1 мин 57,6 сек - Лицензия: CC BY-ND 4.0 или более поздняя
