設定	Setting
IPログリーダー	IP Log Reader
IPアドレスログ	IP address log
全クリア	All clear
IPログが全て削除されました	All IP logs have been deleted.
ID	ID
タイムスタンプ	Time-stamping
IPアドレス	IP address
ユーザーエージェント	User agent
イベント	Events
IPアドレスのデータはありません	No IP address data available
デバッグモード、コンソールの警告メッセージ	Debug mode, console warning messages
右クリックの警告メッセージ	Right-click warning message
印刷、PDF保存の警告メッセージ	Warning messages for printing and saving PDFs
スクリーンショットの警告メッセージ	Screenshot warning message
スクリーンショットの疑いの警告メッセージ	Suspected screenshot warning message
テキスト全選択時の警告メッセージ	Warning message when all text is selected
ページ保存の警告メッセージ	Page save warning message
コピー・カットした時に表示するメッセージ	Message to be displayed when copying/cutting
HTMLソース表示時に表示するメッセージ	Message to be displayed when displaying HTML source
HTML難読化・保護時にソースの先頭に表示するメッセージ	Message to be displayed at the beginning of the source when HTML is obfuscated/protected
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Message to be displayed if the one-time authentication token is abnormal during HTML protection
CookieやJavascriptが有効でない場合に表示するメッセージ	Message displayed when cookies and Javascript are not enabled
実際にはJavascriptが無効時のみ表示されます	In fact, it is only displayed when Javascript is disabled
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Message displayed on the image when the image is downloaded and the image is protected English only
HTML難読化 (圧縮)	HTML obfuscation
無効	Invalid
有効	Validity
一般的なHTML圧縮です、難読化解除のサイトもあります	General HTML compression, some sites offer de-obfuscation
このオプションを有効にするとview-sourceのログが取得できます	Enable this option to log view-source
HTML保護	HTML Protection
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	More than HTML compression, only minimal HTML is output, and the content in the BODY tag is not output at all.
Firefoxに対しては無効です	Not valid for Firefox
SEOに著しく影響があります	It can significantly affect SEO
HTMLをJavaScriptで描画	Rendering HTML with JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	Rendering HTML with JavaScript as a Firefox countermeasure
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Enabling in JavaScript rendering will slow down the website significantly
画像の保護	Image Protection
imgタグが呼び出されるごとに画像を保護	Protect the image each time the img tag is called
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Protect all images uploaded to Wordpress out of all HTML output
画像をダウンロードから保護します	Protects images from downloading
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Almost completely prevents downloading when image data is protected, issues a complete one-time URL, authenticates with a token stored in the session, and displays the image from php, thus almost completely preventing image theft
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	When image data is protected, image caching does not work, so the site will load slower on the next visit, which affects SEO
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Database load may be higher when image data is protected
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	For "protect image each time img tag is called", use add_filter to filter when img tag is issued, some themes do not work correctly
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	For "Protect all images uploaded to Wordpress out of all HTML output", it captures almost all Wordpress actions and handles everything about img tags in the content. Some themes will not work correctly
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Please note that images specified as eye catchers will be spread as OGP and cannot be protected. If you must protect them, please change the output selection of the HEAD tag when HTML is protected in the advanced settings.
OS標準搭載のスクリーンショット機能を保護することはできません	The OS standard built-in screenshot function cannot be protected
画像URLの保護	Image URL Protection
画像の保護と組み合わせて使用します、単体では意味がありません	Used in combination with image protection, it is not meaningful on its own
JavaScriptにより遅延読まれますのでSEOに影響があります	JavaScript causes lazy reading, which affects SEO.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Output of ASCII art in HTML source code during HTML obfuscation and protection
表示なし	No indication
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Display ASCII art to indicate warning intention when HTML source is displayed in view-source
対象アクションを起こした時の表示デザイン	Display design when the target action is taken
黄色の背景の黒文字のベーシックデザイン	Basic design with black letters on yellow background
黒色の背景の赤文字のホラー風デザイン	Horror-style design with red text on black background
黒色の背景の赤文字の光る文字のデザイン	Design of glowing red letters on black background
対象アクションを起こした時のBGM	BGM when the target action is taken
サウンドなし	No sound
戦闘＆戦闘勝利 - 1分16.3秒 - ライセンス：CC2.1 or later	Combat & Battle Victory - 1 min 16.3 sec - License: CC2.1 or later
おやじ ショート - 3.8秒 - ライセンス GPL2.0 or later (C)EJ	Oyaji Short - 3.8 seconds - License GPL2.0 or later
おやじ ロング - 23.5秒 - ライセンス GPL2.0 or later (C)EJ	Father Long - 23.5 sec - License GPL2.0 or later
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - ライセンス：CC BY-ND 4.0 or later	Chopin Etude Op.10-5 Black Keys Struck Fast Version - 1 min 0.0 sec - License: CC BY-ND 4.0 or later
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - ライセンス：CC BY-ND 4.0 or later	Chopin Etude, Op.10-12 Revolution, typed version, fast version - 1 min 57.6 sec - License: CC BY-ND 4.0 or later
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - ライセンス：CC BY-ND 4.0 or later	Chopin Scherzo in B flat minor, Op2, typed version, fast short version - 1 min 48.0 sec - License: CC BY-ND 4.0 or later
ファンファーレ - 22.3秒 - ライセンス：パブリックドメイン	Fanfare - 22.3 seconds - License: Public Domain
レトロ風ファンファーレ - 2.2秒 - ライセンス：パブリックドメイン	Retro-style fanfare - 2.2 sec - License: Public Domain
レトロ風オープン - 42.1秒 - ライセンス：パブリックドメイン	Retro-style open - 42.1 sec - License: Public Domain
警告表示中のBGMを選択します	Select BGM during warning display
びっくりするような雰囲気を作ります	Create a Surprising Atmosphere
Firefoxでは音声ブロックされます	Firefox will block audio
対象アクションを起こした時のビープ音	Beep sound when target action is taken
有効 音量小さ目	Enabled Low volume
有効 音量大き目	Enabled Loud
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Beeps on all key/mouse events during warning display
警告表示中に端末が暴走したかのような雰囲気を作ります	Creates an atmosphere as if the terminal has gone out of control during the warning display
対象アクションを起こした時のマウスカーソルの消去	Clear mouse cursor when target action is taken
警告表示中にブラウザのエリアのマウスカーソルを消去します	Clear mouse cursor in browser area during warning display
デバッグモード	Debug mode
